Order_ID,Order_Date,Category,Product,Region,Customer_Segment,Quantity,Unit_Price,Sales,Profit
41,2025-01-27 00:00:00,Office Supplies,File Folder,West,Corporate,2,320.8,641.6,165.11
42,2025-11-23 00:00:00,Electronics,Laptop,East,Consumer,5,89.18,445.9,71.55
43,2025-02-08 00:00:00,Accessories,Wallet,North,Consumer,3,277.34,832.02,215.2
44,2025-06-07 00:00:00,Furniture,Table,South,Consumer,6,450.5,2703,673.13
45,2025-05-08 00:00:00,Electronics,Keyboard,South,Small Business,2,183.3,366.6,69.64
46,2025-03-25 00:00:00,Accessories,Wallet,South,Consumer,3,441.89,1325.67,74.5
47,2025-03-23 00:00:00,Office Supplies,Stapler,South,Corporate,2,197.45,394.9,23.57
48,2025-06-29 00:00:00,Accessories,Water Bottle,South,Corporate,5,412.06,2060.3,551.81
49,2025-06-18 00:00:00,Furniture,Chair,South,Corporate,5,433.53,2167.65,632.35
50,2025-10-02 00:00:00,Office Supplies,Printer Paper,West,Small Business,6,470.23,2821.38,222.42
51,2025-02-25 00:00:00,Office Supplies,Pen,East,Consumer,7,179.39,1255.73,309.67
52,2025-10-23 00:00:00,Accessories,Wallet,North,Corporate,4,134.81,539.24,122.51
53,2025-08-09 00:00:00,Electronics,Monitor,South,Corporate,2,474.95,949.9,266.16
54,2025-06-08 00:00:00,Office Supplies,Notebook,East,Small Business,7,169.83,1188.81,266.65
55,2025-07-14 00:00:00,Furniture,Desk,West,Small Business,3,311.6,934.8,117.07
56,2025-08-09 00:00:00,Electronics,Keyboard,East,Consumer,6,237.84,1427.04,229.1
57,2025-03-28 00:00:00,Furniture,Sofa,West,Small Business,2,149.06,298.12,64.38
58,2025-06-08 00:00:00,Office Supplies,Notebook,South,Small Business,4,405.22,1620.88,140.75
59,2025-02-07 00:00:00,Electronics,Headphones,West,Small Business,8,213.08,1704.64,353.61
60,2025-05-05 00:00:00,Furniture,Table,West,Corporate,3,331.47,994.41,51.1
61,2025-12-23 00:00:00,Electronics,Mouse,South,Consumer,8,34.61,276.88,31.09
62,2025-12-08 00:00:00,Electronics,Mouse,South,Corporate,6,475.52,2853.12,778.49
63,2025-09-01 00:00:00,Accessories,Wallet,West,Consumer,8,137,1096,122.54
64,2025-05-03 00:00:00,Office Supplies,File Folder,West,Small Business,5,225.54,1127.7,257.55
65,2025-10-04 00:00:00,Furniture,Bookshelf,East,Corporate,2,77.8,155.6,16.78
66,2025-07-28 00:00:00,Furniture,Desk,North,Corporate,6,275.88,1655.28,254.82
67,2025-12-23 00:00:00,Furniture,Table,West,Small Business,1,429.8,429.8,103.75
68,2025-06-02 00:00:00,Accessories,Phone Stand,North,Corporate,7,428.19,2997.33,864.3
69,2025-04-23 00:00:00,Accessories,Wallet,South,Corporate,5,223.56,1117.8,64
70,2025-03-07 00:00:00,Office Supplies,Stapler,South,Corporate,1,454.4,454.4,89.96
71,2025-08-25 00:00:00,Electronics,Laptop,West,Consumer,3,34.64,103.92,15.05
72,2025-07-14 00:00:00,Furniture,Table,East,Corporate,5,378.48,1892.4,488.2
73,2025-10-04 00:00:00,Office Supplies,Notebook,West,Consumer,1,499.95,499.95,68.74
74,2025-04-13 00:00:00,Electronics,Laptop,North,Consumer,1,314.45,314.45,34.48
75,2025-12-25 00:00:00,Accessories,Backpack,South,Corporate,5,385.78,1928.9,177.36
76,2025-10-24 00:00:00,Electronics,Headphones,East,Consumer,1,465.15,465.15,90.22
77,2025-10-31 00:00:00,Accessories,Phone Stand,South,Consumer,4,59.93,239.72,58.28
78,2025-09-30 00:00:00,Electronics,Monitor,North,Corporate,7,334.15,2339.05,157.28
79,2025-02-24 00:00:00,Office Supplies,Notebook,West,Corporate,7,480.79,3365.53,703.05
80,2025-09-25 00:00:00,Accessories,Water Bottle,West,Consumer,5,311.8,1559,436.37
81,2025-10-31 00:00:00,Accessories,Phone Stand,West,Small Business,5,167.93,839.65,93.52
82,2025-08-26 00:00:00,Electronics,Keyboard,West,Consumer,7,174.83,1223.81,212.42
83,2025-07-01 00:00:00,Office Supplies,Pen,West,Consumer,5,176.77,883.85,238.71
84,2025-04-08 00:00:00,Office Supplies,File Folder,North,Small Business,2,128.26,256.52,38.89
85,2025-01-09 00:00:00,Furniture,Table,West,Corporate,2,154.18,308.36,46.59
86,2025-10-11 00:00:00,Furniture,Bookshelf,East,Corporate,6,218.5,1311,310.03
87,2025-06-06 00:00:00,Office Supplies,Printer Paper,West,Corporate,5,122.96,614.8,141.6
88,2025-04-21 00:00:00,Office Supplies,Notebook,South,Consumer,8,145.48,1163.84,229.74
89,2025-04-27 00:00:00,Office Supplies,Notebook,South,Corporate,6,97.93,587.58,31.46
90,2025-10-11 00:00:00,Furniture,Bookshelf,North,Consumer,5,351.73,1758.65,143.45
91,2025-05-26 00:00:00,Accessories,Backpack,North,Small Business,8,244.57,1956.56,264.48
92,2025-02-03 00:00:00,Electronics,Keyboard,West,Consumer,7,250.96,1756.72,341.25
93,2025-06-05 00:00:00,Electronics,Headphones,South,Small Business,2,497.02,994.04,79.14
94,2025-07-14 00:00:00,Accessories,Wallet,South,Small Business,8,455.17,3641.36,452.76
95,2025-02-20 00:00:00,Accessories,USB Cable,North,Small Business,4,316.5,1266,147.06
96,2025-10-10 00:00:00,Electronics,Headphones,South,Consumer,2,86.7,173.4,26.38
97,2025-05-28 00:00:00,Accessories,USB Cable,North,Consumer,5,354.46,1772.3,289.78
98,2025-02-28 00:00:00,Furniture,Bookshelf,South,Corporate,4,327.34,1309.36,362.83
99,2025-06-07 00:00:00,Furniture,Chair,North,Consumer,5,225.19,1125.95,188.23
100,2025-10-04 00:00:00,Office Supplies,Stapler,East,Small Business,8,224.5,1796,358.32
101,2025-02-16 00:00:00,Accessories,USB Cable,East,Consumer,4,481.34,1925.36,498.65
102,2025-08-29 00:00:00,Electronics,Keyboard,North,Consumer,8,458.88,3671.04,350.12
103,2025-06-28 00:00:00,Accessories,Phone Stand,North,Corporate,7,173.32,1213.24,263.92
104,2025-09-11 00:00:00,Furniture,Bookshelf,West,Small Business,5,334.67,1673.35,251.19
105,2025-05-10 00:00:00,Electronics,Mouse,North,Corporate,6,66.8,400.8,97.45
106,2025-01-28 00:00:00,Electronics,Monitor,West,Corporate,4,264.04,1056.16,217.21
107,2025-05-17 00:00:00,Accessories,Phone Stand,North,Consumer,3,464.56,1393.68,222.33
108,2025-11-08 00:00:00,Accessories,Backpack,North,Small Business,4,357.79,1431.16,182.74
109,2025-04-26 00:00:00,Electronics,Monitor,West,Consumer,2,236.11,472.22,37.48
110,2025-12-28 00:00:00,Furniture,Table,East,Small Business,5,213.59,1067.95,182.22
111,2025-03-16 00:00:00,Accessories,Water Bottle,West,Small Business,7,103.4,723.8,144.65
112,2025-06-24 00:00:00,Furniture,Chair,East,Corporate,5,412.07,2060.35,248.7
113,2025-08-17 00:00:00,Office Supplies,File Folder,West,Consumer,8,179.11,1432.88,269.35
114,2025-12-24 00:00:00,Accessories,Phone Stand,East,Consumer,4,290.18,1160.72,125.81
115,2025-08-31 00:00:00,Accessories,Backpack,East,Small Business,7,199.18,1394.26,301.05
116,2025-09-15 00:00:00,Furniture,Table,North,Consumer,6,436.15,2616.9,702.76
117,2025-03-15 00:00:00,Accessories,Backpack,West,Consumer,7,436.76,3057.32,894.23
118,2025-11-16 00:00:00,Electronics,Mouse,East,Corporate,7,328.42,2298.94,604.49
119,2025-01-19 00:00:00,Accessories,USB Cable,West,Small Business,2,125.04,250.08,55.29
120,2025-02-20 00:00:00,Office Supplies,Pen,North,Corporate,2,227.4,454.8,101.65
121,2025-05-31 00:00:00,Electronics,Laptop,East,Consumer,6,193.67,1162.02,100.39
122,2025-03-31 00:00:00,Accessories,Wallet,South,Consumer,2,308.65,617.3,89.9
123,2025-08-25 00:00:00,Furniture,Table,South,Consumer,5,235.19,1175.95,254.84
124,2025-08-15 00:00:00,Accessories,USB Cable,South,Consumer,6,493.95,2963.7,369.84
125,2025-04-12 00:00:00,Accessories,USB Cable,West,Corporate,7,428.13,2996.91,229.75
126,2025-06-01 00:00:00,Accessories,Wallet,East,Small Business,5,20.75,103.75,26.72
127,2025-12-18 00:00:00,Accessories,USB Cable,North,Small Business,1,456.2,456.2,107.8
128,2025-11-22 00:00:00,Office Supplies,Pen,East,Consumer,4,314.24,1256.96,275.83
129,2025-08-14 00:00:00,Furniture,Chair,North,Corporate,1,293.99,293.99,68.53
130,2025-08-01 00:00:00,Electronics,Keyboard,East,Small Business,3,108.39,325.17,80.2
131,2025-05-12 00:00:00,Office Supplies,File Folder,East,Consumer,8,484.02,3872.16,479.32
132,2025-03-14 00:00:00,Office Supplies,Notebook,West,Consumer,4,431.47,1725.88,398.77
133,2025-07-22 00:00:00,Accessories,Wallet,East,Consumer,1,139.58,139.58,11.29
134,2025-07-10 00:00:00,Office Supplies,Printer Paper,West,Small Business,2,340.67,681.34,114.38
135,2025-02-02 00:00:00,Office Supplies,File Folder,South,Small Business,8,455.6,3644.8,457.6
136,2025-01-20 00:00:00,Accessories,Backpack,South,Consumer,5,498,2490,196.78
137,2025-08-21 00:00:00,Furniture,Sofa,South,Corporate,6,338.54,2031.24,478.94
138,2025-12-02 00:00:00,Accessories,Wallet,South,Corporate,2,418.51,837.02,170.68
139,2025-08-16 00:00:00,Office Supplies,Notebook,East,Consumer,8,475.77,3806.16,1004.3
140,2025-07-23 00:00:00,Electronics,Keyboard,East,Consumer,5,103.01,515.05,41.48
141,2025-11-24 00:00:00,Accessories,Backpack,South,Small Business,1,34.78,34.78,4.64
142,2025-10-11 00:00:00,Furniture,Sofa,South,Consumer,4,297.33,1189.32,301.21
143,2025-01-02 00:00:00,Furniture,Bookshelf,South,Small Business,5,430.62,2153.1,185.54
144,2025-02-26 00:00:00,Furniture,Sofa,East,Consumer,1,74.58,74.58,10.41
145,2025-03-31 00:00:00,Furniture,Sofa,East,Consumer,5,35.68,178.4,42
146,2025-07-05 00:00:00,Electronics,Laptop,West,Corporate,2,231.48,462.96,48.79
147,2025-11-26 00:00:00,Electronics,Monitor,East,Corporate,1,39.8,39.8,6.76
148,2025-12-31 00:00:00,Accessories,Phone Stand,North,Corporate,8,46.01,368.08,25.84
149,2025-11-16 00:00:00,Furniture,Chair,South,Corporate,6,196.64,1179.84,235.2
150,2025-12-26 00:00:00,Office Supplies,Stapler,West,Consumer,2,427.87,855.74,182.04
151,2025-07-31 00:00:00,Furniture,Table,West,Consumer,6,415.44,2492.64,373.1
152,2025-12-07 00:00:00,Electronics,Keyboard,West,Corporate,5,193.41,967.05,85.25
153,2025-02-17 00:00:00,Accessories,Backpack,North,Consumer,7,57.32,401.24,94.17
154,2025-10-15 00:00:00,Furniture,Sofa,North,Small Business,6,338.31,2029.86,309.96
155,2025-06-09 00:00:00,Accessories,Backpack,East,Small Business,6,60.76,364.56,64.47
156,2025-06-29 00:00:00,Furniture,Table,South,Consumer,6,66.29,397.74,47.59
157,2025-12-03 00:00:00,Furniture,Table,North,Small Business,5,24.19,120.95,14.31
158,2025-04-03 00:00:00,Office Supplies,Printer Paper,East,Consumer,3,287.5,862.5,129.54
159,2025-09-29 00:00:00,Furniture,Chair,North,Small Business,4,194.34,777.36,127.03
160,2025-06-16 00:00:00,Furniture,Bookshelf,East,Small Business,2,442.84,885.68,78.73
161,2025-12-05 00:00:00,Electronics,Laptop,East,Corporate,7,247.97,1735.79,278.61
162,2025-08-09 00:00:00,Office Supplies,Pen,North,Corporate,2,148.79,297.58,65.35
163,2025-04-23 00:00:00,Accessories,Wallet,East,Consumer,7,492.38,3446.66,219.54
164,2025-05-11 00:00:00,Furniture,Bookshelf,South,Consumer,5,170.78,853.9,44.35
165,2025-09-30 00:00:00,Accessories,Water Bottle,South,Corporate,4,255.13,1020.52,263.64
166,2025-01-22 00:00:00,Office Supplies,Notebook,West,Small Business,7,19.18,134.26,37.63
167,2025-07-27 00:00:00,Office Supplies,File Folder,West,Small Business,7,151.86,1063.02,160.79
168,2025-07-05 00:00:00,Office Supplies,Pen,West,Small Business,2,223.99,447.98,34.26
169,2025-02-10 00:00:00,Accessories,Wallet,West,Small Business,7,436.56,3055.92,722.58
170,2025-09-19 00:00:00,Furniture,Bookshelf,South,Consumer,2,270,540,53.18
171,2025-02-22 00:00:00,Office Supplies,Printer Paper,South,Consumer,3,135.42,406.26,37.93
172,2025-09-10 00:00:00,Furniture,Chair,South,Small Business,8,379.68,3037.44,728.89
173,2025-06-11 00:00:00,Accessories,Wallet,East,Small Business,3,225.48,676.44,113.12
174,2025-09-17 00:00:00,Office Supplies,Printer Paper,North,Corporate,2,162.1,324.2,52.84
175,2025-11-27 00:00:00,Electronics,Keyboard,East,Consumer,2,311.35,622.7,110.07
176,2025-10-20 00:00:00,Accessories,Wallet,North,Corporate,4,167.55,670.2,113.2
177,2025-06-25 00:00:00,Furniture,Chair,West,Consumer,2,257.23,514.46,47.92
178,2025-09-25 00:00:00,Furniture,Table,West,Small Business,3,188.31,564.93,157.89
179,2025-11-03 00:00:00,Accessories,Phone Stand,East,Small Business,1,396.72,396.72,84.04
180,2025-12-14 00:00:00,Electronics,Keyboard,North,Small Business,7,149.23,1044.61,241.24
181,2025-12-06 00:00:00,Furniture,Bookshelf,North,Small Business,3,459.21,1377.63,175.73
182,2025-10-14 00:00:00,Accessories,Water Bottle,North,Corporate,7,325.31,2277.17,300.86
183,2025-12-10 00:00:00,Furniture,Sofa,North,Small Business,7,259.16,1814.12,98.97
184,2025-09-06 00:00:00,Office Supplies,Pen,South,Corporate,4,121.01,484.04,40.85
185,2025-10-04 00:00:00,Electronics,Keyboard,North,Small Business,1,334.35,334.35,89.97
186,2025-03-25 00:00:00,Furniture,Sofa,West,Consumer,3,417.36,1252.08,303.97
187,2025-07-06 00:00:00,Furniture,Table,North,Corporate,4,485.1,1940.4,393.22
188,2025-08-29 00:00:00,Accessories,Water Bottle,South,Corporate,4,190.24,760.96,218.23
189,2025-09-15 00:00:00,Accessories,Phone Stand,East,Corporate,7,483.47,3384.29,860.36
190,2025-09-04 00:00:00,Furniture,Bookshelf,North,Small Business,6,281.72,1690.32,127.87
191,2025-05-20 00:00:00,Electronics,Keyboard,North,Consumer,8,453.6,3628.8,315.11
192,2025-06-28 00:00:00,Accessories,Backpack,South,Corporate,1,213.3,213.3,31.81
193,2025-07-11 00:00:00,Office Supplies,Pen,West,Consumer,4,23.81,95.24,26.92
194,2025-05-27 00:00:00,Office Supplies,Pen,South,Consumer,8,351.08,2808.64,237.89
195,2025-01-10 00:00:00,Accessories,Phone Stand,North,Consumer,5,115.67,578.35,50.54
196,2025-06-04 00:00:00,Accessories,Backpack,East,Consumer,2,33.4,66.8,10.35
197,2025-11-02 00:00:00,Accessories,Backpack,North,Corporate,1,319.66,319.66,61.94
198,2025-11-11 00:00:00,Furniture,Bookshelf,West,Consumer,6,127.88,767.28,118.27
199,2025-09-27 00:00:00,Electronics,Monitor,East,Consumer,1,201.32,201.32,33.73
200,2025-01-09 00:00:00,Accessories,USB Cable,East,Small Business,6,396.37,2378.22,323.92
201,2025-01-23 00:00:00,Electronics,Monitor,East,Consumer,6,277.55,1665.3,421.95
202,2025-04-04 00:00:00,Furniture,Table,West,Small Business,3,40.92,122.76,29.96
203,2025-01-23 00:00:00,Accessories,Backpack,East,Consumer,4,444.04,1776.16,228.95
204,2025-08-31 00:00:00,Office Supplies,File Folder,West,Small Business,5,27.94,139.7,29.58
205,2025-06-19 00:00:00,Office Supplies,Printer Paper,North,Small Business,5,70.99,354.95,50.4
206,2025-04-06 00:00:00,Accessories,Phone Stand,West,Corporate,8,349.11,2792.88,396.13
207,2025-08-09 00:00:00,Office Supplies,Notebook,West,Consumer,3,277.28,831.84,108.39
208,2025-08-17 00:00:00,Electronics,Keyboard,East,Corporate,7,91.66,641.62,103.29
209,2025-08-11 00:00:00,Accessories,Backpack,East,Small Business,5,323.34,1616.7,400.73
210,2025-09-20 00:00:00,Electronics,Laptop,West,Corporate,3,476.87,1430.61,122.6
211,2025-05-01 00:00:00,Accessories,Backpack,South,Consumer,6,187.45,1124.7,323.2
212,2025-08-19 00:00:00,Electronics,Monitor,South,Small Business,6,192.29,1153.74,277.79
213,2025-06-10 00:00:00,Furniture,Sofa,East,Corporate,5,132.31,661.55,51.84
214,2025-03-02 00:00:00,Furniture,Table,West,Small Business,5,389.73,1948.65,440.41
215,2025-09-09 00:00:00,Furniture,Sofa,East,Small Business,4,70.09,280.36,73.79
216,2025-12-16 00:00:00,Accessories,Water Bottle,West,Consumer,6,337.24,2023.44,460.1
217,2025-12-30 00:00:00,Office Supplies,Printer Paper,South,Small Business,3,398.91,1196.73,212.05
218,2025-09-10 00:00:00,Electronics,Headphones,South,Consumer,1,186.84,186.84,36.07
219,2025-02-14 00:00:00,Accessories,Wallet,South,Small Business,2,161.55,323.1,96.9
220,2025-10-22 00:00:00,Accessories,Wallet,West,Corporate,2,71.41,142.82,18.46
221,2025-09-22 00:00:00,Electronics,Mouse,West,Small Business,6,72.88,437.28,112.5
222,2025-01-29 00:00:00,Furniture,Desk,West,Small Business,2,263.87,527.74,66.51
223,2025-09-23 00:00:00,Furniture,Bookshelf,South,Corporate,5,424.51,2122.55,239.11
224,2025-10-01 00:00:00,Office Supplies,Pen,East,Small Business,2,256.26,512.52,47.23
225,2025-01-22 00:00:00,Furniture,Desk,East,Small Business,1,49.8,49.8,14.3
226,2025-11-24 00:00:00,Office Supplies,Pen,West,Small Business,1,254.04,254.04,52.53
227,2025-12-17 00:00:00,Office Supplies,Printer Paper,West,Consumer,7,155.74,1090.18,74.4
228,2025-09-05 00:00:00,Electronics,Headphones,West,Corporate,8,109.97,879.76,177.42
229,2025-03-08 00:00:00,Office Supplies,Printer Paper,East,Corporate,6,262.34,1574.04,120.49
230,2025-08-19 00:00:00,Furniture,Table,North,Corporate,4,79.03,316.12,19.81
231,2025-03-23 00:00:00,Accessories,Wallet,West,Consumer,6,467.54,2805.24,646
232,2025-08-28 00:00:00,Furniture,Desk,West,Small Business,8,440.75,3526,614.73
233,2025-04-21 00:00:00,Electronics,Mouse,West,Consumer,6,33.84,203.04,24.43
234,2025-08-09 00:00:00,Accessories,USB Cable,North,Consumer,3,442.4,1327.2,307.75
235,2025-01-27 00:00:00,Accessories,USB Cable,North,Corporate,4,187.64,750.56,91.68
236,2025-05-24 00:00:00,Accessories,Wallet,West,Small Business,2,73.05,146.1,10.84
237,2025-04-12 00:00:00,Office Supplies,Printer Paper,East,Consumer,7,255.04,1785.28,109.48
238,2025-08-22 00:00:00,Furniture,Bookshelf,West,Small Business,3,307.07,921.21,164.78
239,2025-07-21 00:00:00,Office Supplies,File Folder,East,Consumer,5,300.93,1504.65,266.07
240,2025-01-09 00:00:00,Accessories,Wallet,East,Corporate,6,172.31,1033.86,80.02
241,2025-12-19 00:00:00,Accessories,Wallet,East,Small Business,1,302.49,302.49,35.2
242,2025-09-26 00:00:00,Furniture,Chair,West,Consumer,7,82.41,576.87,127.02
243,2025-01-10 00:00:00,Electronics,Monitor,North,Consumer,8,163.71,1309.68,115.07
244,2025-02-01 00:00:00,Furniture,Table,West,Small Business,3,264.15,792.45,150.74
245,2025-03-30 00:00:00,Accessories,Wallet,West,Corporate,8,456.94,3655.52,495.62
246,2025-05-07 00:00:00,Office Supplies,Printer Paper,West,Consumer,5,283.46,1417.3,150.54
247,2025-12-27 00:00:00,Office Supplies,Printer Paper,South,Small Business,8,165.35,1322.8,181.49
248,2025-12-13 00:00:00,Office Supplies,Printer Paper,North,Small Business,7,448.92,3142.44,467.07
249,2025-05-28 00:00:00,Office Supplies,Pen,East,Consumer,2,179.72,359.44,57.72
250,2025-10-03 00:00:00,Office Supplies,Stapler,South,Consumer,5,467.18,2335.9,523.34
251,2025-01-26 00:00:00,Furniture,Chair,South,Consumer,4,322.59,1290.36,81.45
252,2025-12-15 00:00:00,Accessories,USB Cable,West,Consumer,3,12.54,37.62,7.06
253,2025-11-30 00:00:00,Furniture,Table,West,Corporate,4,380.4,1521.6,185.35
254,2025-10-21 00:00:00,Office Supplies,Notebook,North,Small Business,4,272.22,1088.88,251.29
255,2025-01-19 00:00:00,Electronics,Headphones,West,Consumer,7,396.1,2772.7,267.78
256,2025-10-18 00:00:00,Office Supplies,Notebook,North,Corporate,2,464.94,929.88,124.38
257,2025-09-16 00:00:00,Accessories,Wallet,West,Consumer,8,143.69,1149.52,289.91
258,2025-05-12 00:00:00,Office Supplies,Pen,West,Small Business,3,16.9,50.7,6.81
259,2025-11-09 00:00:00,Office Supplies,File Folder,South,Consumer,7,415.23,2906.61,519.76
260,2025-03-13 00:00:00,Electronics,Mouse,North,Consumer,8,168.56,1348.48,151.05
261,2025-05-17 00:00:00,Office Supplies,Stapler,South,Corporate,6,157.95,947.7,218.65
262,2025-05-01 00:00:00,Electronics,Keyboard,East,Small Business,1,337.22,337.22,56.1
263,2025-03-02 00:00:00,Furniture,Table,East,Small Business,5,190.1,950.5,100
264,2025-11-07 00:00:00,Furniture,Table,South,Corporate,6,213.76,1282.56,240.23
265,2025-12-15 00:00:00,Accessories,Wallet,South,Consumer,2,267.5,535,97.39
266,2025-10-08 00:00:00,Office Supplies,Notebook,North,Consumer,4,290.62,1162.48,101.67
267,2025-12-15 00:00:00,Office Supplies,File Folder,West,Consumer,4,361.29,1445.16,248.87
268,2025-09-20 00:00:00,Accessories,Backpack,West,Consumer,7,233.83,1636.81,105.47
269,2025-05-11 00:00:00,Accessories,USB Cable,North,Corporate,1,375.44,375.44,73.05
270,2025-02-02 00:00:00,Electronics,Mouse,East,Small Business,1,467.95,467.95,31.47
271,2025-04-03 00:00:00,Accessories,Backpack,East,Corporate,3,385.26,1155.78,340.47
272,2025-07-13 00:00:00,Accessories,USB Cable,West,Corporate,7,49.32,345.24,100.48
273,2025-10-03 00:00:00,Furniture,Bookshelf,North,Consumer,7,269.13,1883.91,437
274,2025-08-26 00:00:00,Furniture,Chair,North,Corporate,7,270.65,1894.55,484.7
275,2025-05-22 00:00:00,Furniture,Table,East,Consumer,4,469.33,1877.32,434.14
276,2025-01-09 00:00:00,Electronics,Laptop,West,Small Business,4,110.98,443.92,33.39
277,2025-01-23 00:00:00,Electronics,Mouse,North,Consumer,7,225.09,1575.63,291.4
278,2025-10-22 00:00:00,Electronics,Headphones,East,Consumer,6,292.96,1757.76,427.37
279,2025-12-05 00:00:00,Office Supplies,Pen,East,Consumer,4,212.64,850.56,101.04
280,2025-06-26 00:00:00,Furniture,Table,West,Consumer,7,395.04,2765.28,358.61
281,2025-07-12 00:00:00,Accessories,Phone Stand,South,Corporate,3,379.66,1138.98,191.78
282,2025-01-30 00:00:00,Furniture,Bookshelf,South,Corporate,7,484.22,3389.54,641.71
283,2025-04-15 00:00:00,Furniture,Table,South,Corporate,6,326.89,1961.34,550.27
284,2025-05-18 00:00:00,Office Supplies,Notebook,South,Consumer,7,340.1,2380.7,477.88
285,2025-04-17 00:00:00,Electronics,Headphones,South,Corporate,6,158.56,951.36,263.76
286,2025-09-03 00:00:00,Furniture,Desk,North,Small Business,4,350.86,1403.44,317.1
287,2025-07-14 00:00:00,Accessories,Water Bottle,East,Corporate,8,271.49,2171.92,303.67
288,2025-02-20 00:00:00,Office Supplies,Printer Paper,West,Corporate,8,383.2,3065.6,398.71
289,2025-01-24 00:00:00,Furniture,Bookshelf,East,Corporate,4,373.21,1492.84,80.7
290,2025-06-18 00:00:00,Accessories,USB Cable,South,Consumer,4,196.12,784.48,202.66
291,2025-09-08 00:00:00,Accessories,Wallet,East,Corporate,8,235.81,1886.48,439.91
292,2025-10-07 00:00:00,Office Supplies,Pen,South,Small Business,8,100.18,801.44,218.27
293,2025-12-09 00:00:00,Electronics,Monitor,North,Consumer,1,384.53,384.53,58.87
294,2025-04-22 00:00:00,Furniture,Chair,South,Consumer,8,192.87,1542.96,315.47
295,2025-09-30 00:00:00,Accessories,Phone Stand,North,Consumer,7,15.81,110.67,20.18
